"국가(대륙)별","상품군별","판매유형별",2021.4/4,2022.1/4 p)
"합계","합계","계",926718,567701
"합계","합계","면세점",681168,363520
"합계","합계","면세점 이외",245550,204181
"합계","컴퓨터 및 주변기기","계",2707,2449
"합계","컴퓨터 및 주변기기","면세점",0,0
"합계","컴퓨터 및 주변기기","면세점 이외",2707,2449
"합계","가전·전자·통신기기","계",8514,47741
"합계","가전·전자·통신기기","면세점",4933,45424
"합계","가전·전자·통신기기","면세점 이외",3581,2317
"합계","소프트웨어","계",335,92
"합계","소프트웨어","면세점",0,0
"합계","소프트웨어","면세점 이외",335,92
"합계","서 적","계",9918,8447
"합계","서 적","면세점",0,0
"합계","서 적","면세점 이외",9918,8447
"합계","사무·문구","계",1426,2453
"합계","사무·문구","면세점",16,1
"합계","사무·문구","면세점 이외",1410,2452
"합계","음반·비디오·악기","계",42753,33875
"합계","음반·비디오·악기","면세점",0,0
"합계","음반·비디오·악기","면세점 이외",42753,33875
"합계","의류 및 패션 관련상품","계",101807,75511
"합계","의류 및 패션 관련상품","면세점",7883,2497
"합계","의류 및 패션 관련상품","면세점 이외",93924,73014
"합계","스포츠·레저용품","계",3725,2880
"합계","스포츠·레저용품","면세점",0,0
"합계","스포츠·레저용품","면세점 이외",3725,2880
"합계","화장품","계",714093,359467
"합계","화장품","면세점",667209,315133
"합계","화장품","면세점 이외",46884,44334
"합계","아동·유아용품","계",4116,2910
"합계","아동·유아용품","면세점",27,0
"합계","아동·유아용품","면세점 이외",4089,2910
"합계","음·식료품","계",6794,5005
"합계","음·식료품","면세점",1100,464
"합계","음·식료품","면세점 이외",5694,4541
"합계","농축수산물","계",16,28
"합계","농축수산물","면세점",0,0
"합계","농축수산물","면세점 이외",16,28
"합계","생활용품 및 자동차용품","계",7436,3487
"합계","생활용품 및 자동차용품","면세점",0,1
"합계","생활용품 및 자동차용품","면세점 이외",7436,3486
"합계","기 타","계",23078,23356
"합계","기 타","면세점",0,0
"합계","기 타","면세점 이외",23078,23356
"미국","합계","계",67036,50156
"미국","합계","면세점",108,127
"미국","합계","면세점 이외",66928,50029
"미국","컴퓨터 및 주변기기","계",731,656
"미국","컴퓨터 및 주변기기","면세점",0,0
"미국","컴퓨터 및 주변기기","면세점 이외",731,656
"미국","가전·전자·통신기기","계",699,209
"미국","가전·전자·통신기기","면세점",1,0
"미국","가전·전자·통신기기","면세점 이외",698,209
"미국","소프트웨어","계",323,92
"미국","소프트웨어","면세점",0,0
"미국","소프트웨어","면세점 이외",323,92
"미국","서 적","계",3073,2986
"미국","서 적","면세점",0,0
"미국","서 적","면세점 이외",3073,2986
"미국","사무·문구","계",334,804
"미국","사무·문구","면세점",0,0
"미국","사무·문구","면세점 이외",334,804
"미국","음반·비디오·악기","계",10089,7412
"미국","음반·비디오·악기","면세점",0,0
"미국","음반·비디오·악기","면세점 이외",10089,7412
"미국","의류 및 패션 관련상품","계",29729,21186
"미국","의류 및 패션 관련상품","면세점",21,6
"미국","의류 및 패션 관련상품","면세점 이외",29708,21180
"미국","스포츠·레저용품","계",810,311
"미국","스포츠·레저용품","면세점",0,0
"미국","스포츠·레저용품","면세점 이외",810,311
"미국","화장품","계",9963,7662
"미국","화장품","면세점",51,99
"미국","화장품","면세점 이외",9912,7563
"미국","아동·유아용품","계",823,477
"미국","아동·유아용품","면세점",0,0
"미국","아동·유아용품","면세점 이외",823,477
"미국","음·식료품","계",962,851
"미국","음·식료품","면세점",35,22
"미국","음·식료품","면세점 이외",927,829
"미국","농축수산물","계",5,10
"미국","농축수산물","면세점",0,0
"미국","농축수산물","면세점 이외",5,10
"미국","생활용품 및 자동차용품","계",1073,381
"미국","생활용품 및 자동차용품","면세점",0,0
"미국","생활용품 및 자동차용품","면세점 이외",1073,381
"미국","기 타","계",8422,7119
"미국","기 타","면세점",0,0
"미국","기 타","면세점 이외",8422,7119
"중국","합계","계",730082,403022
"중국","합계","면세점",675565,358933
"중국","합계","면세점 이외",54517,44089
"중국","컴퓨터 및 주변기기","계",52,19
"중국","컴퓨터 및 주변기기","면세점",0,0
"중국","컴퓨터 및 주변기기","면세점 이외",52,19
"중국","가전·전자·통신기기","계",4937,45470
"중국","가전·전자·통신기기","면세점",4850,45306
"중국","가전·전자·통신기기","면세점 이외",87,164
"중국","소프트웨어","계",0,0
"중국","소프트웨어","면세점",0,0
"중국","소프트웨어","면세점 이외",0,0
"중국","서 적","계",3762,3309
"중국","서 적","면세점",0,0
"중국","서 적","면세점 이외",3762,3309
"중국","사무·문구","계",63,85
"중국","사무·문구","면세점",16,1
"중국","사무·문구","면세점 이외",47,84
"중국","음반·비디오·악기","계",17863,16471
"중국","음반·비디오·악기","면세점",0,0
"중국","음반·비디오·악기","면세점 이외",17863,16471
"중국","의류 및 패션 관련상품","계",24964,13868
"중국","의류 및 패션 관련상품","면세점",7703,2211
"중국","의류 및 패션 관련상품","면세점 이외",17261,11657
"중국","스포츠·레저용품","계",265,195
"중국","스포츠·레저용품","면세점",0,0
"중국","스포츠·레저용품","면세점 이외",265,195
"중국","화장품","계",672670,317347
"중국","화장품","면세점",661937,311003
"중국","화장품","면세점 이외",10733,6344
"중국","아동·유아용품","계",1478,671
"중국","아동·유아용품","면세점",27,0
"중국","아동·유아용품","면세점 이외",1451,671
"중국","음·식료품","계",1567,983
"중국","음·식료품","면세점",1032,411
"중국","음·식료품","면세점 이외",535,572
"중국","농축수산물","계",9,8
"중국","농축수산물","면세점",0,0
"중국","농축수산물","면세점 이외",9,8
"중국","생활용품 및 자동차용품","계",655,379
"중국","생활용품 및 자동차용품","면세점",0,1
"중국","생활용품 및 자동차용품","면세점 이외",655,378
"중국","기 타","계",1797,4217
"중국","기 타","면세점",0,0
"중국","기 타","면세점 이외",1797,4217
"일본","합계","계",79288,73071
"일본","합계","면세점",526,356
"일본","합계","면세점 이외",78762,72715
"일본","컴퓨터 및 주변기기","계",14,2
"일본","컴퓨터 및 주변기기","면세점",0,0
"일본","컴퓨터 및 주변기기","면세점 이외",14,2
"일본","가전·전자·통신기기","계",31,98
"일본","가전·전자·통신기기","면세점",0,90
"일본","가전·전자·통신기기","면세점 이외",31,8
"일본","소프트웨어","계",0,0
"일본","소프트웨어","면세점",0,0
"일본","소프트웨어","면세점 이외",0,0
"일본","서 적","계",554,583
"일본","서 적","면세점",0,0
"일본","서 적","면세점 이외",554,583
"일본","사무·문구","계",380,960
"일본","사무·문구","면세점",0,0
"일본","사무·문구","면세점 이외",380,960
"일본","음반·비디오·악기","계",4157,3549
"일본","음반·비디오·악기","면세점",0,0
"일본","음반·비디오·악기","면세점 이외",4157,3549
"일본","의류 및 패션 관련상품","계",33780,26333
"일본","의류 및 패션 관련상품","면세점",3,2
"일본","의류 및 패션 관련상품","면세점 이외",33777,26331
"일본","스포츠·레저용품","계",517,397
"일본","스포츠·레저용품","면세점",0,0
"일본","스포츠·레저용품","면세점 이외",517,397
"일본","화장품","계",23077,27635
"일본","화장품","면세점",522,264
"일본","화장품","면세점 이외",22555,27371
"일본","아동·유아용품","계",212,253
"일본","아동·유아용품","면세점",0,0
"일본","아동·유아용품","면세점 이외",212,253
"일본","음·식료품","계",3551,2861
"일본","음·식료품","면세점",1,0
"일본","음·식료품","면세점 이외",3550,2861
"일본","농축수산물","계",0,0
"일본","농축수산물","면세점",0,0
"일본","농축수산물","면세점 이외",0,0
"일본","생활용품 및 자동차용품","계",2580,1514
"일본","생활용품 및 자동차용품","면세점",0,0
"일본","생활용품 및 자동차용품","면세점 이외",2580,1514
"일본","기 타","계",10435,8886
"일본","기 타","면세점",0,0
"일본","기 타","면세점 이외",10435,8886
"아세안(ASEAN)","합계","계",23677,21197
"아세안(ASEAN)","합계","면세점",1870,2949
"아세안(ASEAN)","합계","면세점 이외",21807,18248
"아세안(ASEAN)","컴퓨터 및 주변기기","계",33,9
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점",0,0
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외",33,9
"아세안(ASEAN)","가전·전자·통신기기","계",2138,1875
"아세안(ASEAN)","가전·전자·통신기기","면세점",74,28
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외",2064,1847
"아세안(ASEAN)","소프트웨어","계",0,0
"아세안(ASEAN)","소프트웨어","면세점",0,0
"아세안(ASEAN)","소프트웨어","면세점 이외",0,0
"아세안(ASEAN)","서 적","계",1224,521
"아세안(ASEAN)","서 적","면세점",0,0
"아세안(ASEAN)","서 적","면세점 이외",1224,521
"아세안(ASEAN)","사무·문구","계",561,519
"아세안(ASEAN)","사무·문구","면세점",0,0
"아세안(ASEAN)","사무·문구","면세점 이외",561,519
"아세안(ASEAN)","음반·비디오·악기","계",4256,2767
